Item{id=1, name='null', creationDate='null', price='null'}
Item{id=2, name='null', creationDate='null', price='null'}
Item{id=3, name='null', creationDate='null', price='null'}
Item{id=4, name='null', creationDate='null', price='null'}
Item{id=5, name='null', creationDate='null', price='null'}
Item{id=6, name='null', creationDate='null', price='null'}
Item{id=7, name='null', creationDate='null', price='null'}
Item{id=8, name='null', creationDate='null', price='null'}
Item{id=9, name='null', creationDate='null', price='null'}
Item{id=10, name='null', creationDate='null', price='null'}
Item{id=11, name='null', creationDate='null', price='null'}
Item{id=12, name='null', creationDate='null', price='null'}
Item{id=13, name='null', creationDate='null', price='null'}
Item{id=14, name='null', creationDate='null', price='null'}
Item{id=15, name='null', creationDate='null', price='null'}
Item{id=16, name='null', creationDate='null', price='null'}
Item{id=17, name='null', creationDate='null', price='null'}
Item{id=18, name='null', creationDate='null', price='null'}
Item{id=19, name='null', creationDate='null', price='null'}
